StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q17,Q1,Q2,Q2_4_TEXT,Q4,Q5,Q5_6_TEXT,Q6,Q7,Q8,Q14_1,Q14_2,Q14_3,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q13_1,Q13_2,Q13_3,Q11,Q19,Stimuli_DO
2022-11-10 11:47:17,2022-11-10 11:52:26,IP Address,128.164.102.196,100,308,True,2022-11-10 11:52:26,R_1FLIIR9eR0WQYfv,,,,,38.9567,-77.2278,anonymous,EN,"Yes, I agree",25-34,Man,,No,White,,Masters,1-2,Yes,Yes,Yes,Not Sure,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,"Blake Miller, a journalist from the Williamsburg Gazette","No, LSC 560 and all other participants",Human-stimulus
2022-11-10 11:51:11,2022-11-10 11:56:30,IP Address,72.33.2.121,100,319,True,2022-11-10 11:56:31,R_3qyUMMGlV2JT8dI,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",25-34,Man,,No,White,,Bachelors or 4 yr equivalent,1-2,Yes,Yes,No,No,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,"Blake Miller, a journalist from the Williamsburg Gazette","Yes, for LSC100, J345, J658, or LSC 675",Human-stimulus
2022-11-10 11:58:56,2022-11-10 12:07:33,IP Address,72.33.2.91,100,516,True,2022-11-10 12:07:33,R_yTJ3kSBLNR9c3xD,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",25-34,Woman,,No,White,,Bachelors or 4 yr equivalent,0,No,Yes,No,Yes,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,"Heliograf, the Williamsburg Gazette's AI journalist","Yes, for LSC100, J345, J658, or LSC 675",AI-stimulus
2022-11-10 12:08:23,2022-11-10 12:12:55,IP Address,173.229.9.166,100,271,True,2022-11-10 12:12:55,R_264IR7cZJlOCESt,,,,,43.0725,-89.4491,anonymous,EN,"Yes, I agree",25-34,Man,,No,White,,Bachelors or 4 yr equivalent,0,No,Yes,No,No,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,"Blake Miller, a journalist from the Williamsburg Gazette","No, LSC 560 and all other participants",Human-stimulus
2022-11-10 12:46:19,2022-11-10 12:53:23,IP Address,24.148.7.142,100,423,True,2022-11-10 12:53:24,R_1ezMmEaQAm22vuH,,,,,41.9555,-87.6613,anonymous,EN,"Yes, I agree",25-34,Man,,No,White,,Bachelors or 4 yr equivalent,3+,Yes,Yes,No,Yes,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,I do not remember,"No, LSC 560 and all other participants",AI-stimulus
2022-11-10 12:44:16,2022-11-10 12:54:38,IP Address,72.33.2.251,100,622,True,2022-11-10 12:54:39,R_273fLxxqfWEmjK8,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",25-34,Woman,,No,Asian,,Masters,3+,No,Yes,No,Yes,Somewhat Agree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,I do not remember,"No, LSC 560 and all other participants",Human-stimulus
2022-11-10 13:00:43,2022-11-10 13:05:05,IP Address,174.209.36.10,100,261,True,2022-11-10 13:05:05,R_24dsTJijfLZRiPG,,,,,41.779,-87.7789,anonymous,EN,"Yes, I agree",25-34,Man,,No,White,,Bachelors or 4 yr equivalent,3+,Yes,Yes,No,Yes,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,I do not remember,"No, LSC 560 and all other participants",Human-stimulus
2022-11-10 13:07:34,2022-11-10 13:12:31,IP Address,73.94.242.135,100,297,True,2022-11-10 13:12:32,R_3mmjL2ialo1HWjJ,,,,,44.9005,-93.2885,anonymous,EN,"Yes, I agree",25-34,Man,,No,White,,Trade school,1-2,Yes,Not Sure,No,No,Neither Agree nor Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,"Blake Miller, a journalist from the Williamsburg Gazette","No, LSC 560 and all other participants",Human-stimulus
2022-11-10 13:25:54,2022-11-10 13:30:37,IP Address,174.192.138.158,100,283,True,2022-11-10 13:30:37,R_1OCzn7ZjhtRKVtM,,,,,42.1495,-88.0221,anonymous,EN,"Yes, I agree",25-34,Woman,,No,White,,Bachelors or 4 yr equivalent,1-2,Yes,Yes,No,No,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,"Heliograf, the Williamsburg Gazette's AI journalist","No, LSC 560 and all other participants",AI-stimulus
2022-11-10 13:43:58,2022-11-10 13:44:58,Survey Preview,,100,59,True,2022-11-10 13:44:59,R_2woE8N7LdWuw8kS,,,,,43.0812,-89.3845,preview,EN,"Yes, I agree",,,,,,,,,,No,No,No,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,I do not remember,"Yes, for LSC100, J345, J658, or LSC 675",Human-stimulus
2022-11-10 13:46:40,2022-11-10 13:47:57,Survey Preview,,100,77,True,2022-11-10 13:47:58,R_1LdudQy9R3YL62V,,,,,43.0812,-89.3845,preview,EN,"Yes, I agree",,,,,,,,,,Not Sure,Not Sure,Not Sure,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,"Heliograf, the Williamsburg Gazette's AI journalist","Yes, for LSC100, J345, J658, or LSC 675",Human-stimulus
2022-11-10 14:02:06,2022-11-10 14:08:02,IP Address,72.33.2.202,100,355,True,2022-11-10 14:08:02,R_2THJSL7tWTr8dBT,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",25-34,Woman,,No,White,,Bachelors or 4 yr equivalent,0,No,Yes,No,Yes,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,I do not remember,"Yes, for LSC100, J345, J658, or LSC 675",Human-stimulus
2022-11-10 14:13:35,2022-11-10 14:17:50,IP Address,71.87.114.158,100,254,True,2022-11-10 14:17:50,R_1GKwwTvvRCMw1U2,,,,,44.1552,-93.9961,anonymous,EN,"Yes, I agree",25-34,Man,,Yes,Other:,Hispanic,Bachelors or 4 yr equivalent,1-2,Yes,Yes,No,Yes,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,"Blake Miller, a journalist from the Williamsburg Gazette","No, LSC 560 and all other participants",Human-stimulus
2022-11-10 15:27:38,2022-11-10 15:36:37,IP Address,131.93.217.22,100,539,True,2022-11-10 15:36:38,R_2fqk2dWPOxr0QWy,,,,,43.0344,-89.5007,anonymous,EN,"Yes, I agree",25-34,Man,,No,White,,High school or GED,0,Yes,Yes,No,Yes,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,"Heliograf, the Williamsburg Gazette's AI journalist","No, LSC 560 and all other participants",AI-stimulus
2022-11-10 15:52:32,2022-11-10 15:54:54,IP Address,47.225.210.170,100,142,True,2022-11-10 15:54:54,R_128SES7646kq213,,,,,44.7499,-93.2081,anonymous,EN,"Yes, I agree",25-34,Woman,,No,White,,Bachelors or 4 yr equivalent,1-2,Yes,Yes,No,No,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,I do not remember,"No, LSC 560 and all other participants",AI-stimulus
2022-11-10 16:03:59,2022-11-10 16:06:59,IP Address,107.208.177.205,100,180,True,2022-11-10 16:07:00,R_spr6BVlPc7tL8L7,,,,,43.1205,-89.3523,anonymous,EN,"Yes, I agree",18-24,Woman,,No,White,,Masters,1-2,Yes,Yes,No,Yes,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,"Blake Miller, a journalist from the Williamsburg Gazette","No, LSC 560 and all other participants",Human-stimulus
2022-11-10 16:13:15,2022-11-10 16:16:09,IP Address,172.58.82.70,100,173,True,2022-11-10 16:16:09,R_2Va6yCaXkDeCJMs,,,,,45.0228,-93.3012,anonymous,EN,"Yes, I agree",25-34,Woman,,No,White,,Trade school,1-2,Yes,Yes,No,Yes,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,I do not remember,"No, LSC 560 and all other participants",AI-stimulus
2022-11-10 17:27:58,2022-11-10 17:31:50,IP Address,198.232.126.108,100,232,True,2022-11-10 17:31:51,R_2zZMunY2qSODsz4,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",18-24,Woman,,No,White,,High school or GED,1-2,Yes,Yes,No,No,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,"Blake Miller, a journalist from the Williamsburg Gazette","No, LSC 560 and all other participants",Human-stimulus
2022-11-10 18:20:00,2022-11-10 18:24:37,IP Address,35.148.19.1,100,276,True,2022-11-10 18:24:37,R_3KT1X4khkDVoMEW,,,,,43.0684,-89.4293,anonymous,EN,"Yes, I agree",18-24,Woman,,No,White,,Bachelors or 4 yr equivalent,1-2,Yes,Yes,No,Yes,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,"Blake Miller, a journalist from the Williamsburg Gazette","Yes, for LSC100, J345, J658, or LSC 675",Human-stimulus
2022-11-11 16:03:33,2022-11-11 16:09:34,IP Address,71.90.101.168,100,361,True,2022-11-11 16:09:35,R_1LdpzzAhigrIiwK,,,,,43.0684,-89.4293,anonymous,EN,"Yes, I agree",18-24,Woman,,No,White,,Bachelors or 4 yr equivalent,1-2,Yes,Yes,No,Yes,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,I do not remember,"Yes, for LSC100, J345, J658, or LSC 675",Human-stimulus
2022-11-12 09:40:10,2022-11-12 09:43:53,IP Address,174.192.131.128,100,223,True,2022-11-12 09:43:53,R_3mad2TjLpXHHEnM,,,,,42.1614,-87.966,anonymous,EN,"Yes, I agree",18-24,Woman,,No,White,,High school or GED,1-2,Yes,Yes,No,Yes,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,"Heliograf, the Williamsburg Gazette's AI journalist","Yes, for LSC100, J345, J658, or LSC 675",AI-stimulus
2022-11-12 19:25:16,2022-11-12 19:29:30,IP Address,76.235.99.97,100,254,True,2022-11-12 19:29:30,R_3QKlrVcK4iLHVKd,,,,,43.1205,-89.3523,anonymous,EN,"Yes, I agree",18-24,Woman,,Yes,White,,High school or GED,1-2,Yes,No,No,Yes,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,"Blake Miller, a journalist from the Williamsburg Gazette","Yes, for LSC100, J345, J658, or LSC 675",Human-stimulus
2022-11-13 17:52:46,2022-11-13 17:56:07,IP Address,72.33.2.11,100,200,True,2022-11-13 17:56:07,R_yWu5OthYS9IryE1,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",18-24,Man,,No,Asian,,High school or GED,1-2,No,Yes,No,No,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,I do not remember,"No, LSC 560 and all other participants",AI-stimulus
2022-11-14 13:39:58,2022-11-14 13:40:58,Survey Preview,,100,60,True,2022-11-14 13:41:01,R_2Euzz3XC5wgClgN,,,,,43.0812,-89.3845,preview,EN,"Yes, I agree",35-44,Non-binary / third gender,,Yes,Asian,,Bachelors or 4 yr equivalent,0,Yes,Yes,No,Not Sure,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree,"Heliograf, the Williamsburg Gazette's AI journalist","Yes, for LSC100, J345, J658, or LSC 675",Human-stimulus
2022-11-14 16:20:11,2022-11-14 16:34:23,IP Address,72.33.2.29,100,852,True,2022-11-14 16:34:23,R_21p3BPqNx4NbZIa,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",18-24,Woman,,No,White,,High school or GED,1-2,Yes,Yes,No,No,Strongly Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,"Blake Miller, a journalist from the Williamsburg Gazette","No, LSC 560 and all other participants",Human-stimulus
2022-11-14 16:58:58,2022-11-14 17:02:04,IP Address,72.33.2.17,100,185,True,2022-11-14 17:02:04,R_1GUgmqe2HORhoHO,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",18-24,Woman,,No,Asian,,High school or GED,0,No,Yes,No,Yes,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,"Heliograf, the Williamsburg Gazette's AI journalist","Yes, for LSC100, J345, J658, or LSC 675",AI-stimulus
2022-11-14 17:22:19,2022-11-14 17:24:28,IP Address,72.33.2.146,100,128,True,2022-11-14 17:24:28,R_2pMpO83asy0PQFA,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",18-24,Woman,,No,White,,High school or GED,1-2,Yes,Not Sure,No,Yes,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,I do not remember,"Yes, for LSC100, J345, J658, or LSC 675",AI-stimulus
2022-11-14 17:35:30,2022-11-14 17:44:00,IP Address,72.33.2.230,100,510,True,2022-11-14 17:44:00,R_88nMU8grRcDOtgd,,,,,43.0812,-89.3845,anonymous,EN,"Yes, I agree",18-24,Woman,,Yes,Other:,,High school or GED,3+,Yes,Not Sure,No,Yes,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,I do not remember,"Yes, for LSC100, J345, J658, or LSC 675",Human-stimulus
